k,Census BIC
2,64231.318128459774
3,-165079.50505546608
4,-167280.7753634169
5,-169715.07608101834
6,-184192.72588314925
7,-186615.22682962296
8,-220755.197028245
9,-219767.86671347753
10,-257618.45512407634
11,-257636.8938461893
12,-223757.3822827588
13,-224417.1154263822
14,-224207.63964622022
15,-265492.5671905164
