k,Wine BIC
2,6016.978360316853
3,5831.499820725182
4,-1338.4891238363698
5,-2602.6781509458033
6,-2610.378898205413
7,-2736.3814523394853
8,-2783.4362136073323
9,-2773.6851338185006
10,-3007.6240365778094
11,-3298.350856098028
12,-3030.2497029183774
13,-3002.2666948042424
14,-2986.10141647098
15,-2936.9881829678484
