k,Census log-likelihood
2,-2.159742833229514
3,5.605073575090513
4,5.686367658626217
5,5.775545577659945
6,6.272171533926554
7,6.360950245600931
8,7.522787663958719
9,7.496205686099258
10,8.783579954446113
11,8.791024941769695
12,7.651641649590489
13,7.680782774051579
14,7.68051700617268
15,9.084081109207178
