k,Census sse (left)
2,54589.0509488388
3,43801.44674245363
4,37896.33492320922
5,32705.427274305905
6,29237.23496463466
7,26296.114181425884
8,23482.759179133725
9,20943.260113085504
10,19196.11567619731
11,17975.769408018197
12,16964.648579974044
13,16278.276026723364
14,15443.051634724243
15,14853.824387198034
