k,Wine sse (left)
2,1524.497750478072
3,1114.716956275234
4,873.5277490888413
5,749.0476019607681
6,666.8284992206363
7,591.628749865052
8,538.8631542328982
9,493.6045151550731
10,448.08171533710834
11,414.8623914439988
12,384.2104314841164
13,351.1943506512256
14,327.51175349433663
15,314.1396792603375
