k,Wine log-likelihood
2,-3.761416883201167
3,-3.6004271855309375
4,1.0206585561813608
5,1.8704799827901357
6,1.917946185995447
7,2.0409563271793427
8,2.1135528075291226
9,2.1498748044455183
10,2.341809817037611
11,2.5700078671526345
12,2.441355359988048
13,2.4660350016520156
14,2.49826108634336
15,2.50944760834641
