k,Wine BIC
2,-9891.995032485442
3,-10000.94388890914
4,-9955.997942009019
5,-9944.352634342464
6,-9928.532458798061
7,-9910.828046981378
8,-9842.82564993253
9,-9801.339370888747
10,-9747.765491416345
11,-9720.231168266262
12,-9726.313033152806
13,-9658.23381985839
14,-9606.78811025083
15,-9520.364138362283
