k,Census log-likelihood
2,24.163069115188417
3,24.405768578312745
4,26.120788373093138
5,26.334851779352586
6,26.44449149700167
7,26.642571659902476
8,27.097028920845364
9,27.11912583115281
10,27.15166008864762
11,27.22137811865887
12,27.266769085373525
13,27.36788208215379
14,27.25725964626987
15,27.441314759771682
