k,Census sse (left)
2,3.4558391158649213
3,2.831722366717393
4,2.2831274802891586
5,1.8100253740403072
6,1.4901217162281029
7,1.287006060682993
8,1.168814836872078
9,1.0878160632071319
10,1.0343907026607952
11,0.9707356979393196
12,0.9100900125514796
13,0.8859271100023822
14,0.8323089654244475
15,0.7930079712413748
