k,Wine sse (left)
2,1.6076457488886593
3,1.214275695712002
4,0.9353802964399383
5,0.8120889332589325
6,0.7098898773720743
7,0.6356678865657521
8,0.6000928314769369
9,0.5528642640174242
10,0.5236644063482467
11,0.48682041987468294
12,0.45929237718119026
13,0.43889873474441254
14,0.4137821110923215
15,0.3902823605539728
