k,Wine log-likelihood
2,20.46654005730453
3,20.539364659858066
4,21.10605111937829
5,21.15448710591678
6,21.387900909788158
7,21.492259284881815
8,21.732960938042243
9,21.639859271272254
10,21.803292753232782
11,21.815020915990303
12,22.146563423318423
13,22.178936724543213
14,22.404794641386275
15,22.484171078336278
