,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
13,0.09482426643371582,0.0014971256256103515,0.6666666666666657,0.6666666666666646,0.0001,"(20, 5)",15,"{'gmm__n_components': 15, 'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (20, 5)}",1,0.6666666666666661,0.6666666666666624,0.6666666666666673,0.6666666666666606,0.6666666666666653,0.666666666666667,0.6666666666666654,0.666666666666667,0.6666666666666652,0.6666666666666662,0.028028379955306788,0.0004467646252650372,7.934631643444318e-16,2.6150407209324e-15
14,0.029970121383666993,0.0010982513427734374,0.0,0.0,1e-05,"(20, 5)",2,"{'gmm__n_components': 2, 'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029280750354478235,0.00020620743378349025,0.0,0.0
15,0.0317725658416748,0.0011946201324462891,0.6666666666666657,0.6666666666666646,1e-05,"(20, 5)",3,"{'gmm__n_components': 3, 'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (20, 5)}",1,0.6666666666666661,0.6666666666666624,0.6666666666666673,0.6666666666666606,0.6666666666666653,0.666666666666667,0.6666666666666654,0.666666666666667,0.6666666666666652,0.6666666666666662,0.0024629031784754794,0.0004001380540201627,7.934631643444318e-16,2.6150407209324e-15
16,0.04656071662902832,0.0009970664978027344,0.0,0.013636363636363637,1e-05,"(20, 5)",4,"{'gmm__n_components': 4, 'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181819,0.004034401890557812,3.371747880871523e-07,0.0,0.027272727272727275
17,0.0441831111907959,0.0014978408813476562,0.0,0.0,1e-05,"(20, 5)",5,"{'gmm__n_components': 5, 'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008428828636076243,0.00044410152891416547,0.0,0.0
18,0.04455099105834961,0.0014066696166992188,0.6666666666666657,0.6666666666666646,1e-05,"(20, 5)",6,"{'gmm__n_components': 6, 'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (20, 5)}",1,0.6666666666666661,0.6666666666666624,0.6666666666666673,0.6666666666666606,0.6666666666666653,0.666666666666667,0.6666666666666654,0.666666666666667,0.6666666666666652,0.6666666666666662,0.005224547161411208,0.0004890786259632945,7.934631643444318e-16,2.6150407209324e-15
19,0.061099004745483396,0.0011951923370361328,0.27557948972662644,0.26500659538874966,1e-05,"(20, 5)",7,"{'gmm__n_components': 7, 'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (20, 5)}",13,0.0,0.0,0.0,0.0,0.0,0.0,0.6355932203389832,0.6818822049311474,0.7476038338658149,0.6431507720126011,0.006985706263146391,0.0003955367245250468,0.34043522842038454,0.3247964836461397
20,0.0609128475189209,0.0013967037200927734,0.0,0.0,1e-05,"(20, 5)",8,"{'gmm__n_components': 8, 'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056294557215245036,0.0004884804518612656,0.0,0.0
21,0.06464638710021972,0.0009970664978027344,0.0,0.0,1e-05,"(20, 5)",9,"{'gmm__n_components': 9, 'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013556745706881342,3.015782985847835e-07,0.0,0.0
22,0.06582412719726563,0.0011967658996582032,0.0,0.0,1e-05,"(20, 5)",10,"{'gmm__n_components': 10, 'NN__alpha': 1e-05, 'NN__hidden_layer_sizes': (20, 5)}",19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015086079411855424,0.0003989221660422917,0.0,0.0
