k,Census BIC
2,-713683.9439674123
3,-720588.8277475113
4,-771012.5558907001
5,-777071.0151019869
6,-780042.9189253285
7,-785628.9454294206
8,-798792.9661974404
9,-799177.2797213779
10,-799870.1003534795
11,-801661.9989336219
12,-802734.8381768438
13,-805454.7091847449
14,-801916.1042739579
15,-807087.5783679144
