k,GMM,Kmeans
2,0.8646232439335888,0.8646232439335888
3,0.8646232439335888,0.8646232439335888
4,0.8646232439335888,0.8646232439335888
5,0.8646232439335888,0.8646232439335888
6,0.8646232439335888,0.8646232439335888
7,0.8646232439335888,0.8646232439335888
8,0.8646232439335888,0.8646232439335888
9,0.8646232439335888,0.8646232439335888
10,0.8646232439335888,0.8646232439335888
11,0.8646232439335888,0.8646232439335888
12,0.8646232439335888,0.8646232439335888
13,0.8646232439335888,0.8646232439335888
14,0.8697318007662835,0.8646232439335888
15,0.8659003831417624,0.8646232439335888
