k,Wine BIC
2,18709.815375715723
3,18124.533707073184
4,18153.744157150762
5,18268.817578942602
6,18469.634660740645
7,18978.20608722586
8,19170.551168430105
9,18977.367023850416
10,19318.44122895548
11,19657.197985181494
12,20010.039394529984
13,20294.639493312403
14,20611.020563880702
15,20354.590749690484
