k,Wine sse (left)
2,3731.8096219361373
3,2909.130518820149
4,2283.0471602220487
5,1942.3730626908591
6,1785.5568554882275
7,1642.2499677147937
8,1529.1380473785448
9,1410.2173557871006
10,1319.3999824973926
11,1229.3913230046096
12,1146.3578848966451
13,1068.5810749016985
14,1009.1815079242574
15,948.0851091917909
