k,Census sse (left)
2,67703.7875475225
5,33863.808197544466
10,19565.983345055905
15,14959.41077307704
20,12646.625530606474
25,10764.362158302856
30,9576.800913359697
35,8574.559545883043
40,7787.28464311405
45,7266.818683105254
50,6755.749955665668
