k,Wine log-likelihood
2,-5.318991623736755
3,-5.219065108966148
4,-5.168879366108077
5,-5.183107297410904
6,-5.132719275431876
7,-5.115537671424341
8,-5.090108612120486
9,-5.07874755793839
10,-5.075457533704919
11,-5.076354823724224
12,-5.019510007032347
13,-5.001174968018212
14,-4.967723010719889
15,-4.986805629671126
