k,Census log-likelihood
2,-3.925251015816945
3,-0.17917272080225768
4,3.4540083594041557
5,7.856673106902514
6,13.659990824248743
7,14.129875314558584
8,17.134473421654704
9,19.81010471053755
10,20.188720599068393
11,20.192129620090345
12,20.569737303114692
13,21.14461363292076
14,21.16452137804221
15,21.17733980709477
