k,Census BIC
2,116877.05519097336
3,6582.516260923885
4,-100375.00679382263
5,-230076.92808638446
6,-401179.34986170963
7,-414636.15231229324
8,-503014.0198478457
9,-581668.2861706502
10,-592427.3712898502
11,-592096.0918192223
12,-602825.3764000614
13,-619385.5276424744
14,-619541.9174587796
15,-619488.7612707206
