,0,1,2,3,4,5,6,7,8,9
2,0.7404317284593834,0.861178731921016,0.8600548781664324,0.8711692307317984,0.8079420760342351,0.8516093082147623,0.8103823953632502,0.8325313332612657,0.8610918414296753,0.9511783139417613
3,0.6604717375219257,0.7082723625630525,0.7408349975500945,0.7513275244170191,0.7473200959647827,0.7417820758599786,0.8466525740336238,0.7565104992906213,0.7739336376343897,0.8154203254423035
4,0.6451276419300505,0.6186587673661623,0.6289186891281878,0.6967716943331334,0.642141516706675,0.636648701741374,0.6145507110299946,0.6434412302313223,0.6208586282983993,0.7535818611199138
5,0.5478241581969286,0.5722279144278575,0.6044227174667499,0.6015496171247218,0.5748171556184869,0.5506954356545432,0.654426358560206,0.6153989262129449,0.5455976628032925,0.6583085260586186
6,0.5489442722318402,0.46349694620913534,0.4933478401065109,0.5348307416848352,0.5682958116503565,0.5363948650000249,0.47157485353924405,0.5388255496772981,0.5215785397988422,0.5772406460017269
7,0.32475701004418334,0.4416055060243362,0.4889799781567354,0.37660722903573024,0.43437103337460825,0.4943583091011295,0.4312084649433689,0.41392124473835123,0.4416614959716768,0.5297702877822553
8,0.30121219988303083,0.25078792288421176,0.3454369292314245,0.3487347105629112,0.31815816450971285,0.3025031740031914,0.33187111455206303,0.41094160912865574,0.34997887274881445,0.38645626883932027
9,0.3053482551968267,0.20019260830251465,0.29325833188177786,0.22938836390629586,0.2362531234225036,0.22663612567866126,0.20155302770349606,0.4398267173664757,0.20679520909634336,0.31447381285739706
10,0.11647782864181519,0.21138605741618496,0.15929646460707664,0.16666666666666693,0.13524818760648205,0.1637305938085485,0.2231725998872071,0.3589800591330663,0.1662581867644302,0.3126556161825988
15,7.720234557237841e-30,2.651638812743308e-30,1.5733166288556731e-30,0.0833333333333338,3.0862094363231564e-30,1.912441731678438e-30,1.3470108175505924e-30,5.717875977191561e-30,1.4067195041163857e-30,3.174524095065076e-30
20,1.798566158515245e-30,1.2696662838812396e-30,6.0516642021237536e-30,0.08333333333333384,1.3966362857007404e-30,1.6892977719693903e-30,6.468092710137995e-30,1.7598932394125147e-30,1.137475622625895e-30,5.952783718445571e-30
25,8.504598078947407e-31,9.791843151989673e-31,8.139229707661178e-31,1.0751230680071651e-30,2.447797377881059e-30,9.23330237112773e-31,8.367326878541467e-31,3.552911610942884e-30,8.903621121301695e-31,8.74995211057732e-31
30,1.004508141553114e-29,1.3436366390817078e-30,1.254056499623858e-30,7.96178292312668e-31,8.80207043554175e-30,3.369286025624086e-30,1.2821605356001316e-30,5.768545443747064e-31,1.4093869553102613e-30,1.0343235654009028e-30
35,1.5697086218208796e-30,1.891793863540751e-30,1.1596911658906448e-29,7.422178115561939e-31,6.7747457358792405e-31,1.2378736594823447e-30,9.305067885799209e-31,1.0972825134137805e-30,7.663382695595577e-30,1.0782224430834173e-30
40,9.513421195423547e-31,6.5071624861482e-31,1.4748738657001899e-30,9.144361271704115e-31,1.1106794130210823e-30,1.149838442436975e-30,1.0120421509245498e-30,1.27729906744127e-29,1.9308118497420046e-30,6.038356344564263e-31
45,9.755334788506698e-31,6.666272101561208e-31,1.058115121593405e-30,1.1562625196524913e-30,6.437327876118802e-30,8.819135788785607e-31,9.51284120644082e-31,1.007059164652981e-30,3.385541676032757e-30,6.261158600804426e-30
50,7.45108327737554e-31,9.601524558226023e-31,4.132251879286775e-30,1.4010674611263821e-30,1.866933678326887e-30,8.184298757930098e-30,9.083212270013642e-31,6.137300376650598e-31,2.3116266877661367e-30,2.6536643006232295e-30
55,7.765534560330966e-31,7.381178292582824e-31,3.160340285923767e-30,8.761209644543908e-31,7.854072814584045e-31,4.987079816667688e-30,2.257998648129316e-30,6.562833040985995e-30,1.13956430234665e-29,8.640576424935136e-31
60,1.0741491760008537e-30,9.13040381020843e-31,5.441360063012243e-30,7.431168964186288e-31,8.457834504696143e-31,3.339422615298401e-30,1.079951079652702e-30,1.3067207286889029e-30,5.229141097572478e-31,8.600423649668966e-31
