,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.10532841682434083,0.0011965274810791016,0.65101272856789,0.6790344016157507,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'rp__n_components': 2, 'NN__hidden_layer_sizes': (50, 50)}",295,0.4102564102564105,0.44470195682010544,0.4464331373050373,0.48559969073161263,0.8168526356290879,0.8099350493144093,0.8544548976203652,0.8208440791535103,0.7310606060606061,0.834091232059116,0.02963291868866804,0.00039868381887134025,0.187286790779987,0.1752804991647208
1,0.08198070526123047,0.0011968135833740235,0.7666246610061673,0.7824685856482902,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'rp__n_components': 3, 'NN__hidden_layer_sizes': (50, 50)}",252,0.8252126836813612,0.8032475946641284,0.7651350818379018,0.7523312245998438,0.7755102040816326,0.7362858048832044,0.8664421997755329,0.8889093059846335,0.6003110419906688,0.7315689981096405,0.012253463144970472,0.0003991366109215068,0.09057718607034168,0.05898011858781734
2,0.10591669082641601,0.0015960693359375,0.8010961605658418,0.8225099368500708,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'rp__n_components': 4, 'NN__hidden_layer_sizes': (50, 50)}",224,0.7978848413631022,0.7562466166198147,0.793069885146973,0.7921585000189765,0.7853509664292981,0.8395494367959949,0.8889912482726854,0.8257000848587706,0.740284647219138,0.8988950459567975,0.017290599396195663,0.001196694377647,0.04838369756480609,0.04784818454574943
3,0.1460092544555664,0.0011968135833740235,0.7689764377550995,0.7503103083812616,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'rp__n_components': 5, 'NN__hidden_layer_sizes': (50, 50)}",250,0.7059830889435941,0.5421686746987946,0.913418781061993,0.890521588865247,0.6046511627906976,0.6203640285043931,0.9014479215319945,0.8415482748622787,0.7186507501916548,0.8569489749755945,0.05934140596648427,0.0003993751717911276,0.11990058839640234,0.1411129691002291
4,0.05226025581359863,0.0013964653015136718,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'rp__n_components': 6, 'NN__hidden_layer_sizes': (50, 50)}",367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013527612226525857,0.0004880919778823549,0.0,0.0
5,0.15338945388793945,0.0011966705322265625,0.7920655727599791,0.8748488425683956,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'rp__n_components': 7, 'NN__hidden_layer_sizes': (50, 50)}",232,0.8928571428571428,0.9393787659710929,0.9666666666666667,0.9079892306171456,0.8136103583258054,0.9225477620242244,0.4193373166757197,0.6805012839120237,0.8653864899112973,0.9238271703174911,0.033194334762111,0.0003992087807993002,0.19241175526926188,0.0976805337786635
6,0.12088665962219239,0.0011869430541992187,0.8482114507404729,0.8629063048318277,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'rp__n_components': 8, 'NN__hidden_layer_sizes': (50, 50)}",173,0.8928571428571428,0.9177189291992043,0.8076923076923077,0.8463573063012074,0.7475790832795352,0.7457041045268573,0.8838008013737836,0.8256716862239201,0.9090909090909091,0.9790794979079497,0.031847777996057786,0.0003786806307291391,0.061156090978755295,0.07987149242515787
7,0.14201974868774414,0.000997304916381836,0.8790740260112474,0.8874888260774643,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'rp__n_components': 9, 'NN__hidden_layer_sizes': (50, 50)}",139,0.8928571428571428,0.9024206587787548,0.9465888298335802,0.9373094749725188,0.9422294548413345,0.969819132708651,0.8653864899112973,0.8927439649547952,0.7475790832795352,0.7351508989726023,0.0318059803227735,4.523674478771752e-07,0.07233785116244455,0.0808922698326053
8,0.15179357528686524,0.001396512985229492,0.923130982239777,0.9240288165273667,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'rp__n_components': 10, 'NN__hidden_layer_sizes': (50, 50)}",68,0.9122807017543859,0.9658119658119657,0.9836065573770492,0.9292035398230086,0.9090909090909091,0.9058295964125559,0.9473684210526316,0.9437229437229436,0.8628632520167169,0.8755760368663593,0.028839257995229992,0.0007979395142504002,0.0404876605683375,0.031110613754751205
9,0.1486112117767334,0.0011227130889892578,0.9283102591348564,0.9476749372734874,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'rp__n_components': 15, 'NN__hidden_layer_sizes': (50, 50)}",66,0.7843137254901962,0.8530805687203785,0.9666666666666667,0.9523809523809523,0.9655172413793104,0.9833333333333333,1.0,0.9747899159663865,0.9260011072153533,0.9747899159663865,0.01657573457618218,0.0004891287165984043,0.07593557196195443,0.048398773721545184
10,0.12867183685302735,0.0014113426208496095,0.6440345850736534,0.6572363716865166,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'rp__n_components': 20, 'NN__hidden_layer_sizes': (50, 50)}",303,0.5887708649468893,0.6365310854443401,0.7323057565272099,0.6959960660188517,0.9727991657252107,0.9752204955900882,0.0,0.0,0.9260011072153533,0.978434211379303,0.06225000406734976,0.000494675855058043,0.34960623527854395,0.3572597448156728
