,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.11022138595581055,0.0011000633239746094,0.6695147605848873,0.6950634945224301,0.1,"(50, 50)",2,"{'pca__n_components': 2, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",120,0.5845405029551514,0.7151217746314569,0.7746057097224995,0.7242316675683866,0.7310606060606061,0.6950822308898623,0.6274965164886206,0.6951338994121483,0.6296900489396412,0.6457479001102967,0.02081448083903141,0.0004842124858489599,0.0713814781354466,0.027148296741759136
1,0.08391919136047363,0.001011800765991211,0.5632794333891528,0.5948981713884504,0.1,"(50, 50)",3,"{'pca__n_components': 3, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",159,0.676252723311547,0.656173734658507,0.696736030421464,0.662354263239218,0.18181818181818177,0.32841256651874834,0.6296900489396412,0.6951338994121483,0.6296900489396411,0.6324163931136303,0.004255611562523327,0.0006427911762404705,0.19210377610577895,0.13474005693814545
2,0.07299103736877441,0.0009954452514648437,0.5569296919566049,0.595890113208676,0.1,"(50, 50)",4,"{'pca__n_components': 4, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",166,0.5887708649468893,0.6070110974471418,0.48780487804878064,0.364094691485093,0.5981642627249971,0.6542411563332061,0.6253182133765331,0.6894452052062693,0.4849246231155779,0.6646584155716695,0.015681613462590407,3.495577394125224e-06,0.05889624243842371,0.11894475415480323
3,0.08697261810302734,0.0009975910186767578,0.6659661586022521,0.6518784860023501,0.1,"(50, 50)",5,"{'pca__n_components': 5, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",121,0.7722161409095432,0.7487564793968261,0.6476741598041398,0.6930918420834817,0.5305510433587405,0.6710388321004568,0.7210196681683331,0.6621043627031646,0.6575809199318569,0.48440091372782096,0.014545741603514847,6.106495129998063e-07,0.08129920225949666,0.08899922578930662
4,0.12091574668884278,0.00110015869140625,0.7490154120024474,0.7523953140917268,0.1,"(50, 50)",6,"{'pca__n_components': 6, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",81,0.8178595381814698,0.808050373249049,0.7504071661237787,0.7418036019455754,0.7563163865112922,0.784626359460846,0.7901740020470829,0.7726923667639376,0.6296900489396411,0.6548038690392257,0.022917373796927307,0.00048478079726718313,0.06433600331845393,0.053262690048836304
5,0.11283812522888184,0.0008997440338134766,0.7346309332279521,0.7802729455355013,0.1,"(50, 50)",7,"{'pca__n_components': 7, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",86,0.7346938775510206,0.7029402849348276,0.5560730920816913,0.7559402669485916,0.8889912482726854,0.8275359325452268,0.8063264697105341,0.8113707837454519,0.688670829616414,0.8035774595034083,0.018749059980920284,0.0001905021678556604,0.11226972020593004,0.04542331008741428
6,0.12997231483459473,0.0011082172393798828,0.8816272421636604,0.9061612187276197,0.1,"(50, 50)",8,"{'pca__n_components': 8, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",42,0.9122807017543859,0.9086285554676222,0.7843137254901962,0.8518167069699097,0.9629365645046328,0.9752204955900882,0.8679245283018867,0.841088631396442,0.8812785388127855,0.9540517042140366,0.035835665603223175,0.0002037340761119627,0.05871994228678762,0.05339763599942974
7,0.1192960262298584,0.0011005401611328125,0.9009039076232717,0.9109050243474369,0.1,"(50, 50)",9,"{'pca__n_components': 9, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",35,0.8518518518518519,0.9036972088265377,0.9284764690241957,0.884154841476927,0.9473684210526316,0.9661016949152542,0.9090909090909091,0.8484257962365263,0.8679245283018867,0.9521455802819399,0.0338230286924855,0.0002063522374655978,0.03601416556046301,0.04340192329628552
8,0.1438107967376709,0.0009972095489501954,0.9472051793449671,0.9779301616570798,0.1,"(50, 50)",10,"{'pca__n_components': 10, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",21,0.9122807017543859,0.9523809523809523,0.9836065573770492,0.9789029535864978,0.9655172413793104,0.9917355371900827,0.9655172413793104,0.9790794979079497,0.9090909090909091,0.9875518672199171,0.02125568716356629,5.761645304486548e-07,0.030575136984393556,0.013698138589867095
9,0.13820266723632812,0.0009959220886230468,0.9322014090329515,0.9639072514347683,0.1,"(50, 50)",11,"{'pca__n_components': 11, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",24,0.9310344827586207,0.942587135453714,0.9310344827586207,0.9658119658119657,0.9655172413793104,0.9833333333333333,0.9655172413793104,0.9617021276595744,0.8679245283018867,0.9661016949152542,0.013098254707722731,3.976375911596181e-06,0.03558494326592341,0.013001739062810306
10,0.13578295707702637,0.0011971473693847656,0.9549213579983116,0.9604177059097905,0.1,"(50, 50)",12,"{'pca__n_components': 12, 'NN__hidden_layer_sizes': (50, 50), 'NN__alpha': 0.1}",16,0.9122807017543859,0.9079892306171459,0.9666666666666667,0.9568965517241377,0.9655172413793104,0.9833333333333333,0.983050847457627,0.9790794979079497,0.9473684210526316,0.9747899159663865,0.01253616906279332,0.00039885076520761707,0.024181897244638054,0.027716754611673756
