k,Census log-likelihood
2,16.955264710853722
3,17.75183410714312
4,18.265008059629782
5,20.695020075364948
6,20.743979919191595
7,22.303591538125616
8,22.653397673333068
9,22.67219438069541
10,23.21838870780541
11,23.085026892876282
12,23.090084232781553
13,23.576100087003105
14,23.48718231916556
15,23.88875649185624
