k,Census sse (left)
2,91277.86360602234
3,67027.54439973643
4,41652.22531589603
5,35458.53863262031
6,31116.701438757096
7,28231.680774998455
8,25990.719979832575
9,23952.81426849591
10,22218.621511493984
11,20881.380640404204
12,19967.195878308743
13,18962.08829095814
14,17937.230079166446
15,17237.110623034543
