k,Census BIC
2,-500309.2286579582
3,-523422.18355948565
4,-538158.5359330918
5,-609552.7877801971
6,-610567.8995300304
7,-656234.8564484875
8,-666142.3828789548
9,-666265.9326411762
10,-681978.301247899
11,-677604.3494082291
12,-677321.7909471544
13,-691255.4042522404
14,-688195.1295565036
15,-699632.8156389
