k,Wine sse (left)
2,8263.386924103837
3,6508.263392058985
4,5291.101832958917
5,4483.717949178879
6,3969.210269707761
7,3550.399965446556
8,3264.4113056889128
9,3033.7711522112663
10,2807.7065006894363
11,2634.2389159326917
12,2478.0055411697094
13,2331.495345362069
14,2217.67491011392
15,2148.7961250695435
