k,Wine log-likelihood
2,-6.306805562491705
3,-6.174031727705142
4,-6.1427461024267505
5,-6.101613270666156
6,-6.088066033004171
7,-6.051556738595522
8,-6.0648581438861715
9,-6.0372301442018825
10,-6.028515877560895
11,-5.990532927097568
12,-5.946340547243207
13,-5.9247812318451
14,-5.945603552987791
15,-5.935897326848206
