k,Wine BIC
2,10003.057032085835
3,9861.764533769985
4,9879.402571543933
5,9881.619883966749
6,9927.03623674799
7,9936.494008663954
8,10023.955336309018
9,10047.32121576333
10,10100.306001163452
11,10107.456027697788
12,10104.882087805769
13,10137.75152685224
14,10236.990608721602
15,10288.42198554692
